"Year","Type","Type_Sub","Candidate","Party","Votes","Percent","Winner"
"2016","United States Representative","2","MERRIE LEE SOULES","DEM",85232,0.372,""
"2016","United States Representative","2","JACK A MCGRANN (write in)","REP",70,0,""
"2016","United States Representative","3","MICHAEL H ROMERO","REP",102730,0.376,""
"2016","United States Representative","3","BEN R LUJAN","DEM",170612,0.624,"Winner"
"2016","Secretary of State","Secretary of State","NORA ESPINOZA","REP",334733,0.436,""
"2016","Secretary of State","Secretary of State","MAGGIE TOULOUSE OLIVER","DEM",433227,0.564,"Winner"
"2016","Justice of the Supreme Court","Justice of the Supreme Court","JUDITH K NAKAMURA","REP",396303,0.52,"Winner"
"2016","Justice of the Supreme Court","Justice of the Supreme Court","MICHAEL E VIGIL","DEM",365790,0.48,""
"2016","Judge of the Court of Appeals","Judge of the Court of Appeals","STEPHEN G FRENCH","REP",357837,0.475,""
"2016","Judge of the Court of Appeals","Judge of the Court of Appeals","JULIE J VARGAS","DEM",395227,0.525,"Winner"
"2014","State Representative","1","RODNEY D MONTOYA","REP",5971,0.728,"Winner"
"2014","State Representative","1","ALFRED GORDON GLASS JR","DEM",2231,0.272,""
"2014","State Representative","10","G ANDRES ROMERO","DEM",2463,0.581,"Winner"
"2014","State Representative","10","ROBERT A SCHILLER","IND",1779,0.419,""
"2014","State Representative","11","JAVIER I MARTINEZ","DEM",6413,1,"Winner"
"2014","State Representative","12","PATRICIO R RUILOBA","DEM",2779,1,"Winner"
"2014","State Representative","13","PATRICIA A ROYBAL CABALLERO","DEM",2524,1,"Winner"
"2014","State Representative","14","ROBERT W CHAVEZ","REP",1392,0.306,""
"2014","State Representative","14","MIGUEL P GARCIA","DEM",3154,0.694,"Winner"
"2014","State Representative","15","SARAH MAESTAS BARNES","REP",4816,0.519,"Winner"
"2014","State Representative","15","EMILY A KANE","DEM",4460,0.481,""
"2014","State Representative","16","JOHNNY F LUÉVANO JR","REP",3144,0.433,""
"2014","State Representative","16","ANTONIO 'MOE' MAESTAS","DEM",4112,0.567,"Winner"
"2014","State Representative","17","DEBORAH A ARMSTRONG","DEM",5433,1,"Winner"
"2014","State Representative","18","GAIL CHASEY","DEM",6423,1,"Winner"
"2014","State Representative","19","SHERYL M WILLIAMS STAPLETON","DEM",5496,1,"Winner"
"2014","State Representative","2","JAMES R J STRICKLER","REP",3867,0.766,"Winner"
"2014","State Representative","2","NATHAN E THOMPSON","DEM",1179,0.234,""
"2014","State Representative","20","JAMES MITCHELL DINES","REP",4688,0.548,"Winner"
